instance,source,scenario_index,depot_internal,truck_walk_eval_preferred,truck_assigned_demands,drone_sequence_spt,drone_assigned_demands,drone_arrival_time
Instance3,table3_paper_exact_repaired,4,18,"[18, 8, 0, 10, 3, 10, 0, 8, 18]",,"[12, 7]",,
Instance3,table3_paper_exact_repaired,5,15,"[15, 5, 9, 11, 2, 14, 2, 11, 7, 11, 9, 15]",,"[4, 1, 13]",,
Instance3,table3_paper_exact_repaired,5,18,"[18, 8, 0, 10, 3, 10, 0, 8, 18]",,"[12, 6]",,
Instance3,table3_paper_exact_repaired,6,15,"[15, 5, 9, 11, 2, 14, 2, 11, 7, 11, 9, 15]",,"[4, 1, 13]",,
Instance3,table3_paper_exact_repaired,6,18,"[18, 8, 0, 10, 3, 10, 0, 8, 18]",,"[12, 6]",,
Instance3,table3_paper_exact_repaired,7,15,"[15, 5, 9, 11, 7, 13, 6, 13, 7, 11, 9, 15]",,"[3, 2]",,
Instance3,table3_paper_exact_repaired,7,18,"[18, 8, 12, 4, 1, 14, 1, 4, 12, 18]",,"[0, 10]",,
Instance3,table3_paper_exact_repaired,8,15,"[15, 5, 9, 11, 7, 13, 6, 13, 7, 11, 9, 15]",,"[4, 1, 14]",,
Instance3,table3_paper_exact_repaired,8,18,"[18, 8, 0, 10, 3, 10, 0, 8, 18]",,"[12, 2]",,
Instance3,table3_paper_exact_repaired,9,15,"[15, 5, 9, 11, 2, 14, 2, 11, 7, 11, 9, 15]",,"[4, 1, 13]",,
Instance3,table3_paper_exact_repaired,9,18,"[18, 8, 0, 10, 3, 10, 0, 8, 18]",,"[12, 6]",,
Instance4,table3_existing,0,16,"[16, 5, 7, 7, 3, 11, 3, 12, 2, 2, 12, 3, 7]",,"[14, 13, 9]",,
Instance4,table3_existing,0,17,"[17, 10, 1, 0, 4]",,"[8, 6]",,
Instance4,table3_existing,1,16,"[16, 5, 7, 7, 7, 3, 11, 3, 12]",,"[14, 13, 2]",,
Instance4,table3_existing,1,17,"[17, 10, 10, 8, 6, 9]",,"[1, 0, 4]",,
Instance4,table3_existing,2,16,"[16, 5, 7, 3, 11]",,"[14, 13, 12]",,
Instance4,table3_existing,2,17,"[17, 10, 10, 8, 6, 9, 2]",,"[1, 0, 4]",,
Instance4,table3_existing,3,16,"[16, 5, 7, 7, 3, 11, 3, 12, 2, 2, 12, 3, 7]",,"[14, 13, 6]",,
Instance4,table3_existing,3,17,"[17, 10, 1, 0, 4]",,"[8, 9]",,
Instance4,table3_existing,4,16,"[16, 5, 7, 3, 11]",,"[14, 13, 12]",,
Instance4,table3_existing,4,17,"[17, 10, 10, 8, 6, 9, 2]",,"[1, 0, 4]",,
Instance4,table3_existing,5,16,"[16, 5, 7, 7, 3, 11, 3, 12, 2, 2, 12, 3, 7]",,"[14, 13, 9]",,
Instance4,table3_existing,5,17,"[17, 10, 1, 0, 4]",,"[8, 6]",,
Instance4,table3_existing,6,16,"[16, 5, 7, 7, 7, 3, 11, 3, 12, 2]",,"[14, 13, 9]",,
Instance4,table3_existing,6,17,"[17, 10, 1, 0, 4]",,"[8, 6]",,
Instance4,table3_existing,7,16,"[16, 5, 7, 7, 3, 11, 3, 12, 2, 2, 12, 3, 7]",,"[14, 13, 9]",,
Instance4,table3_existing,7,17,"[17, 10, 1, 0, 4]",,"[8, 6]",,
Instance4,table3_existing,8,16,"[16, 5, 7, 7, 3, 11, 3, 12, 2, 2, 12, 3, 7]",,"[14, 13, 9]",,
Instance4,table3_existing,8,17,"[17, 10, 1, 0, 4]",,"[8, 6]",,
Instance4,table3_existing,9,16,"[16, 5, 7, 3, 11, 3, 12, 2, 2, 12, 3, 7]",,"[14, 13, 9]",,
Instance4,table3_existing,9,17,"[17, 10, 1, 0, 4]",,"[8, 6]",,
