instance,is_best,rank_by_objective,open_depots,open_depots_base,open_depots_idx,status_name,objective,best_bound,achieved_mip_gap,achieved_mip_gap_pct,runtime_sec,error
Instance9,0,6,"[16, 19]","[4, 13]","[1, 4]",OPTIMAL,105.50666666666669,105.50666666666666,2.6938306676106407e-16,2.693830667610641e-14,10.944000005722046,
Instance9,0,7,"[15, 17]","[2, 6]","[0, 2]",OPTIMAL,109.63333333333335,109.63333333333335,0.0,0.0,29.24899983406067,
Instance9,0,8,"[18, 19]","[8, 13]","[3, 4]",OPTIMAL,110.28999999999999,110.28999999999998,1.2884989314717568e-16,1.2884989314717567e-14,19.710999965667725,
Instance9,0,9,"[16, 17]","[4, 6]","[1, 2]",OPTIMAL,111.22666666666667,111.22666666666666,1.2776481702710984e-16,1.2776481702710983e-14,20.039999961853027,
Instance9,0,10,"[15, 16]","[2, 4]","[0, 1]",OPTIMAL,200.00333333333333,200.00333333333333,0.0,0.0,12.138000011444092,
Instance10,1,1,"[17, 19]","[4, 14]","[2, 4]",OPTIMAL,105.17666666666668,105.17666666666666,1.3511413857828417e-16,1.3511413857828417e-14,450.1949999332428,
Instance10,0,2,"[18, 19]","[6, 14]","[3, 4]",OPTIMAL,106.17333333333333,106.17333333333333,0.0,0.0,666.0610001087189,
Instance10,0,3,"[16, 18]","[2, 6]","[1, 3]",OPTIMAL,109.55000000000003,109.55000000000001,1.2972026211959837e-16,1.2972026211959837e-14,74.45700001716614,
Instance10,0,4,"[16, 17]","[2, 4]","[1, 2]",OPTIMAL,110.37,110.36999999999999,1.2875649828034795e-16,1.2875649828034795e-14,68.1489999294281,
Instance10,0,5,"[15, 17]","[1, 4]","[0, 2]",OPTIMAL,112.13333333333333,112.13333333333333,0.0,0.0,126.51899981498718,
Instance10,0,6,"[15, 18]","[1, 6]","[0, 3]",OPTIMAL,112.18333333333331,112.18333333333331,0.0,0.0,125.18300008773804,
Instance10,0,7,"[16, 19]","[2, 14]","[1, 4]",OPTIMAL,115.02000000000002,115.02,2.4710232507741263e-16,2.4710232507741264e-14,215.20900011062622,
Instance10,0,8,"[15, 19]","[1, 14]","[0, 4]",OPTIMAL,123.74000000000002,123.73999999999998,3.4453340993701313e-16,3.445334099370131e-14,118.36800003051758,
Instance10,0,9,"[15, 16]","[1, 2]","[0, 1]",OPTIMAL,132.70000000000002,132.7,2.1418017656672196e-16,2.1418017656672196e-14,68.04500007629395,
Instance10,0,10,"[17, 18]","[4, 6]","[2, 3]",OPTIMAL,179.89333333333337,179.89333333333332,3.1598402123929735e-16,3.1598402123929736e-14,40.76799988746643,
