instance,is_best,rank_by_objective,open_depots,open_depots_base,open_depots_idx,status_name,objective,best_bound,achieved_mip_gap,achieved_mip_gap_pct,rank_by_arrival_rescore,arrival_best_objective,arrival_best_solution_number,arrival_pool_solution_count,runtime_sec,error
Instance8,0,7,"[16, 19]","[7, 14]","[1, 4]",TIME_LIMIT,10.833333333333336,10.205717404294465,0.05793377806512656,5.793377806512656,7,,,,100.24900007247925,
Instance8,0,8,"[16, 18]","[7, 12]","[1, 3]",TIME_LIMIT,11.543333333333335,9.478060154443137,0.1789148003658849,17.89148003658849,6,,,,100.33800005912781,
Instance8,0,9,"[18, 19]","[12, 14]","[3, 4]",TIME_LIMIT,15.919999952989958,15.129754313983804,0.04963854531028037,4.963854531028037,10,,,,100.18600010871887,
Instance8,0,10,"[15, 17]","[1, 8]","[0, 2]",OPTIMAL,16.323333258666672,16.323333258666672,0.0,0.0,2,,,,23.42899990081787,
Instance9,1,1,"[17, 19]","[6, 13]","[2, 4]",TIME_LIMIT,101.44666624462798,80.42185261517137,0.20724992163623665,20.724992163623664,9,,,,100.22099995613098,
Instance9,0,2,"[15, 18]","[2, 8]","[0, 3]",TIME_LIMIT,102.98333216646749,80.53963902682509,0.2179352004590731,21.79352004590731,3,,,,100.47300004959106,
Instance9,0,3,"[17, 18]","[6, 8]","[2, 3]",TIME_LIMIT,104.07666616111176,93.30597471222356,0.10348805208859264,10.348805208859265,8,,,,100.26200008392334,
Instance9,0,4,"[16, 18]","[4, 8]","[1, 3]",TIME_LIMIT,106.94,87.26372023263278,0.18399363911882569,18.399363911882567,6,,,,100.20199990272522,
Instance9,0,5,"[15, 19]","[2, 13]","[0, 4]",OPTIMAL,109.6233327364616,109.62333273646156,3.8890045651226656e-16,3.8890045651226655e-14,4,,,,28.16600012779236,
Instance9,0,6,"[16, 19]","[4, 13]","[1, 4]",OPTIMAL,114.99999940133789,114.99999940133789,0.0,0.0,7,,,,16.138999938964844,
Instance9,0,7,"[15, 17]","[2, 6]","[0, 2]",TIME_LIMIT,117.23999626371193,103.79094245839428,0.11471387098193206,11.471387098193206,2,,,,100.25400018692017,
Instance9,0,8,"[16, 17]","[4, 6]","[1, 2]",TIME_LIMIT,118.65333326638064,117.31000000000004,0.01132149623950951,1.132149623950951,5,,,,100.19799995422363,
Instance9,0,9,"[18, 19]","[8, 13]","[3, 4]",TIME_LIMIT,121.48333167847562,116.92763487674661,0.037500591552645,3.7500591552644997,10,,,,100.21300005912781,
Instance9,0,10,"[15, 16]","[2, 4]","[0, 1]",OPTIMAL,211.99666666666664,211.99666666666664,0.0,0.0,1,,,,18.57699990272522,
Instance10,1,1,"[17, 19]","[4, 14]","[2, 4]",TIME_LIMIT,112.18,77.24859480949313,0.31138710278576287,31.138710278576287,9,,,,100.28400015830994,
Instance10,0,2,"[18, 19]","[6, 14]","[3, 4]",TIME_LIMIT,112.91333333333334,76.46862855050162,0.32276706131102073,32.276706131102074,10,,,,100.28700017929077,
Instance10,0,3,"[15, 17]","[1, 4]","[0, 2]",TIME_LIMIT,119.26999277315468,96.0745883797945,0.19447812357527874,19.447812357527873,2,,,,100.31799983978271,
Instance10,0,4,"[15, 18]","[1, 6]","[0, 3]",TIME_LIMIT,120.27666666666667,95.66886013217103,0.20459335311223265,20.459335311223263,3,,,,100.29999995231628,
Instance10,0,5,"[16, 18]","[2, 6]","[1, 3]",TIME_LIMIT,120.71666654000927,82.92962193910817,0.31302259815447514,31.302259815447513,6,,,,100.42499995231628,
Instance10,0,6,"[16, 17]","[2, 4]","[1, 2]",TIME_LIMIT,121.0399997777778,86.44674476636561,0.2858001906388246,28.58001906388246,5,,,,100.20000004768372,
Instance10,0,7,"[16, 19]","[2, 14]","[1, 4]",TIME_LIMIT,127.53666666666669,86.38359923887054,0.3226763604803544,32.26763604803544,7,,,,100.18600010871887,
Instance10,0,8,"[15, 19]","[1, 14]","[0, 4]",TIME_LIMIT,132.7799966402102,103.24423856400854,0.22244132266574587,22.24413226657459,4,,,,100.31900000572205,
Instance10,0,9,"[15, 16]","[1, 2]","[0, 1]",TIME_LIMIT,145.51666666666668,112.71294098162288,0.22542933697201098,22.542933697201097,1,,,,100.2170000076294,
Instance10,0,10,"[17, 18]","[4, 6]","[2, 3]",TIME_LIMIT,186.83999710666512,169.11105508652088,0.09488836595315812,9.488836595315812,8,,,,100.23600006103516,
